timestamp,event_type,player_position
1726259377.6077302,player_moved,"(20, 295)"
1726259377.6243382,player_moved,"(20, 300)"
1726259377.6401155,player_moved,"(20, 305)"
1726259377.677354,player_moved,"(20, 310)"
1726259377.7247944,player_moved,"(20, 315)"
1726259377.741534,player_moved,"(20, 320)"
1726259377.7581608,player_moved,"(20, 325)"
1726259377.7832377,player_moved,"(20, 330)"
1726259377.7994955,player_moved,"(20, 335)"
1726259377.8382912,player_moved,"(20, 340)"
1726259377.854319,player_moved,"(20, 345)"
1726259377.869827,player_moved,"(20, 350)"
1726259377.8856854,player_moved,"(20, 355)"
1726259377.901754,player_moved,"(20, 360)"
1726259377.918533,player_moved,"(20, 365)"
1726259377.9504528,player_moved,"(20, 370)"
1726259377.9658647,player_moved,"(20, 375)"
1726259377.9817688,player_moved,"(20, 380)"
1726259378.0084538,player_moved,"(20, 385)"
1726259378.0254304,player_moved,"(20, 390)"
1726259378.0567017,player_moved,"(20, 395)"
1726259378.0733485,player_moved,"(20, 400)"
1726259378.0885906,player_moved,"(20, 405)"
1726259378.1140635,player_moved,"(20, 410)"
1726259378.130091,player_moved,"(20, 415)"
1726259378.158896,player_moved,"(20, 420)"
1726259378.174855,player_moved,"(20, 425)"
1726259378.1907275,player_moved,"(20, 430)"
1726259378.2067215,player_moved,"(20, 435)"
1726259378.2226586,player_moved,"(20, 440)"
1726259378.2627757,player_moved,"(20, 445)"
1726259378.2785273,player_moved,"(20, 450)"
1726259378.2951286,player_moved,"(20, 455)"
1726259378.3109074,player_moved,"(20, 460)"
1726259378.3267694,player_moved,"(20, 465)"
1726259378.3435128,player_moved,"(20, 470)"
1726259378.369095,player_moved,"(20, 475)"
1726259378.3851626,player_moved,"(20, 475)"
1726259378.4012525,player_moved,"(20, 475)"
1726259378.4168196,player_moved,"(20, 475)"
1726259378.4326544,player_moved,"(20, 475)"
1726259378.4749281,player_moved,"(20, 475)"
1726259378.4909892,player_moved,"(20, 475)"
1726259378.5070343,player_moved,"(20, 475)"
1726259378.5334766,player_moved,"(20, 475)"
1726259378.550408,player_moved,"(20, 475)"
1726259378.580591,player_moved,"(20, 475)"
1726259378.5973275,player_moved,"(25, 475)"
1726259378.6132612,player_moved,"(30, 475)"
1726259378.6294615,player_moved,"(35, 475)"
1726259378.645047,player_moved,"(40, 475)"
